Model	Release date	Max resolution	Zoom wide (W)	Normal focus range	Storage included	Weight	Price
STRING	INT	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
Agfa ePhoto 1280	1997	1024.0	38.0	70.0	4.0	420.0	179.0
Agfa ePhoto 1680	1998	1280.0	38.0	50.0	4.0	420.0	179.0
Agfa ePhoto CL18	2000	640.0	45.0	0.0	2.0	0.0	179.0
Agfa ePhoto CL30	1999	1152.0	35.0	0.0	4.0	0.0	269.0
Canon PowerShot 350	1997	640.0	42.0	70.0	2.0	320.0	149.0
Canon PowerShot 600	1996	832.0	50.0	40.0	1.0	460.0	139.0
Canon PowerShot A10	2001	1280.0	35.0	76.0	8.0	375.0	139.0
Canon PowerShot A20	2001	1600.0	35.0	76.0	8.0	375.0	139.0
Canon PowerShot A30	2002	1280.0	35.0	76.0	8.0	350.0	139.0
Canon PowerShot A40	2002	1600.0	35.0	76.0	8.0	350.0	139.0
Canon PowerShot A5	1998	1024.0	35.0	50.0	8.0	240.0	149.0
Canon PowerShot A50	1999	1280.0	28.0	50.0	8.0	290.0	149.0
Canon PowerShot A60	2003	1600.0	35.0	46.0	16.0	315.0	139.0
Canon PowerShot A70	2003	2048.0	35.0	46.0	16.0	315.0	139.0
Canon PowerShot A80	2003	2272.0	38.0	46.0	32.0	350.0	139.0
Canon EOS 10D	2003	3072.0	0.0	0.0	0.0	875.0	1299.0
Canon EOS-1D	2001	2464.0	0.0	0.0	0.0	1585.0	4499.0
Canon EOS 5D	2005	4368.0	0.0	0.0	0.0	895.0	2499.0
Canon EOS D30	2000	2160.0	0.0	0.0	16.0	855.0	549.0
Canon EOS D60	2002	3072.0	0.0	0.0	16.0	855.0	549.0
Canon PowerShot G1	2000	2048.0	34.0	70.0	16.0	490.0	499.0
Canon PowerShot G7	2006	3648.0	35.0	50.0	32.0	380.0	499.0
Canon PowerShot G9	2007	4000.0	35.0	50.0	32.0	370.0	499.0
Canon PowerShot S10	1999	1600.0	35.0	46.0	8.0	320.0	399.0
Canon PowerShot S20	2000	2048.0	32.0	66.0	16.0	320.0	399.0
Canon PowerShot S70	2004	3072.0	28.0	50.0	32.0	300.0	399.0
Canon PowerShot S80	2005	3264.0	28.0	50.0	32.0	290.0	399.0
Canon PowerShot SD10	2003	2272.0	38.0	0.0	32.0	140.0	199.0
Canon PowerShot SD600	2006	2816.0	35.0	30.0	16.0	170.0	199.0
Canon PowerShot SD900	2006	3648.0	37.0	0.0	32.0	205.0	199.0
Canon PowerShot TX1	2007	3072.0	39.0	50.0	0.0	260.0	139.0
Casio Exilim EX-P505	2005	2560.0	38.0	40.0	7.0	275.0	249.0
Casio Exilim EX-Z1000	2006	3648.0	38.0	40.0	8.0	185.0	329.0
Casio Exilim EX-Z3	2003	2048.0	35.0	40.0	16.0	170.0	329.0
Casio Exilim EX-Z4	2003	2304.0	35.0	40.0	16.0	170.0	329.0
Casio Exilim EX-S770	2006	3072.0	38.0	40.0	6.0	176.0	249.0
Casio Exilim EX-Z850	2006	3264.0	38.0	40.0	8.0	185.0	249.0
Casio GV-10	2001	1280.0	35.0	60.0	8.0	320.0	249.0
Casio GV-20	2002	1600.0	35.0	60.0	8.0	320.0	249.0
Casio QV-2000UX	1999	1600.0	36.0	50.0	8.0	320.0	249.0
Casio QV-3000EX	2000	2048.0	33.0	30.0	16.0	360.0	249.0
Casio QV-770	1998	640.0	38.0	70.0	4.0	300.0	249.0
Casio QV-8000SX	1999	1280.0	40.0	40.0	8.0	320.0	249.0
Casio QV-R4	2002	2304.0	38.0	40.0	11.0	240.0	249.0
Casio QV-R61	2004	2816.0	39.0	70.0	9.0	218.0	249.0
Contax N Digital	2000	3040.0	0.0	0.0	0.0	0.0	549.0
Contax TVS Digital	2002	2560.0	35.0	60.0	0.0	260.0	549.0
Epson PhotoPC 800	1999	1600.0	38.0	50.0	8.0	280.0	229.0
Epson PhotoPC 850 Zoom	1999	1600.0	35.0	0.0	0.0	0.0	229.0
Epson PhotoPC 500	1997	640.0	43.0	60.0	2.0	320.0	229.0
Epson PhotoPC 750 Zoom	1998	1280.0	34.0	80.0	8.0	0.0	229.0
Epson PhotoPC L-300	2003	2048.0	34.0	50.0	16.0	285.0	399.0
Epson R-D1	2004	3008.0	0.0	0.0	0.0	620.0	4499.0
Fujifilm FinePix 40i	2000	2400.0	36.0	50.0	64.0	200.0	169.0
Fujifilm DS-300	1997	1280.0	35.0	20.0	0.0	700.0	169.0
Fujifilm FinePix 1300	2000	1280.0	38.0	80.0	8.0	240.0	169.0
Fujifilm FinePix 3800	2002	2048.0	38.0	80.0	16.0	400.0	399.0
Fujifilm FinePix 4800 Zoom	2001	2400.0	36.0	60.0	16.0	280.0	169.0
Fujifilm FinePix A330	2004	2016.0	38.0	60.0	16.0	160.0	169.0
Fujifilm FinePix A610	2007	2848.0	39.0	60.0	10.0	195.0	169.0
Fujifilm FinePix A800	2007	3296.0	36.0	50.0	10.0	200.0	169.0
Fujifilm FinePix F31 fd	2006	2848.0	36.0	60.0	26.0	185.0	199.0
Fujifilm FinePix F480 Zoom	2007	3264.0	28.0	40.0	12.0	170.0	169.0
Fujifilm FinePix S5700 Zoom	2007	3072.0	38.0	30.0	27.0	406.0	229.0
Fujifilm FinePix S6000 fd	2006	2848.0	28.0	40.0	10.0	700.0	399.0
Fujifilm FinePix S7000 Z	2003	4048.0	35.0	50.0	16.0	590.0	229.0
Fujifilm FinePix Z2	2005	2592.0	36.0	60.0	16.0	170.0	179.0
Fujifilm FinePix Z3	2006	2592.0	36.0	60.0	10.0	170.0	179.0
Fujifilm FinePix IS Pro	2007	4256.0	0.0	0.0	0.0	920.0	1699.0
Fujifilm MX-1200	1999	1280.0	38.0	70.0	4.0	240.0	169.0
Fujifilm MX-2900 Zoom	1999	1800.0	35.0	90.0	8.0	385.0	179.0
Fujifilm FinePix 4700 Zoom	2000	2400.0	36.0	80.0	16.0	280.0	169.0
Fujifilm MX-700	1998	1280.0	35.0	50.0	2.0	260.0	169.0
Fujifilm FinePix S1 Pro	2000	3040.0	0.0	0.0	16.0	820.0	1699.0
Fujifilm FinePix S2 Pro	2002	4256.0	0.0	0.0	0.0	850.0	1699.0
Fujifilm FinePix S3 Pro	2004	4256.0	0.0	0.0	0.0	930.0	1699.0
Fujifilm FinePix S5 Pro	2006	4256.0	0.0	0.0	0.0	920.0	1699.0
HP Photosmart 320	2002	1632.0	38.0	75.0	8.0	240.0	179.0
HP Photosmart 850	2002	2272.0	37.0	50.0	0.0	489.0	179.0
HP Photosmart 935	2003	2608.0	37.0	50.0	32.0	260.0	179.0
HP Photosmart C200	1999	1152.0	35.0	60.0	8.0	300.0	179.0
HP Photosmart C500	1999	1600.0	38.0	0.0	16.0	410.0	179.0
HP Photosmart E317	2005	2560.0	35.0	60.0	16.0	231.0	179.0
HP Photosmart E327	2006	2560.0	35.0	60.0	16.0	170.0	179.0
HP Photosmart E337	2007	2576.0	36.0	100.0	16.0	170.0	179.0
HP Photosmart M307	2004	2080.0	40.0	80.0	16.0	177.0	179.0
HP Photosmart M407	2004	2320.0	40.0	50.0	16.0	190.0	179.0
HP Photosmart R507	2004	2320.0	35.0	50.0	32.0	205.0	179.0
HP Photosmart R607	2004	2320.0	35.0	50.0	32.0	205.0	179.0
JVC GC-QX3HD	2001	2032.0	37.0	50.0	8.0	320.0	14.0
JVC GC-QX5HD	2001	2032.0	37.0	50.0	16.0	320.0	14.0
Kodak C300	2005	2096.0	37.0	80.0	16.0	198.0	129.0
Kodak C513	2007	2572.0	36.0	60.0	16.0	188.0	126.0
Kodak C875	2006	3264.0	37.0	60.0	32.0	225.0	126.0
Kodak CX4200	2002	1632.0	37.0	75.0	16.0	250.0	129.0
Kodak CX6200	2003	1632.0	37.0	50.0	8.0	195.0	129.0
Kodak DC200	1998	1152.0	39.0	70.0	4.0	400.0	129.0
